molecules,pkb
CNc1c2ccccc2nc2cccc([N+](=O)[O-])c12,7.2
NCCCc1cccnc1,10.05
CN(C)C1CCNCC1,10.66
COc1cccc(=O)[nH]1,9.77
N#Cc1ccc(CN)cc1,8.72
Cc1ccc(N=CN(C)C)cc1,9.21
Nc1ccc2cccc([N+](=O)[O-])c2c1,2.86
c1ccc2c3c([nH]c2c1)CNCC3,8.4
O=C(O)CCc1nc2ccccc2[nH]1,5.7
CC(Cc1ccccc1)N(C)CCC#N,6.95
Cn1ncc2c(NCCO)ncnc21,3.86
CC(C)NCC(O)c1cccc(N)c1,9.6
Cc1ccc(Cl)cc1C(=NCCCN(C)C)c1ccccc1,8.8
NC(=S)NCc1ccccc1,0.86
NOCc1ccc([N+](=O)[O-])cc1,3.96
Oc1cccnc1,8.6
COC(=N)N,9.72
CN1C(CC(=O)c2ccccc2)CCCC1CC(O)c1ccccc1,8.0
Cc1ccnc(-c2cc(C)ccn2)c1,5.32
Nc1ncc(S(=O)(=O)c2ccccc2)s1,1.79
O=[N+]([O-])c1ccc2[nH]c(C(F)(F)F)nc2c1,0.18
Cn1cccnc1=O,2.5
O=C(O)c1nccc2ccccc12,4.97
Oc1cccc2scnc12,1.25
CN(C)c1ccc(C(=O)O)cc1,2.57
c1cc2[nH]cnc2cn1,6.1
Cn1nccc1N,4.23
Nc1ncccn1,3.55
CCOCCn1c(CN2CCN(CCCCn3cc(C(=O)O)cn3)CC2)nc2ccccc21,8.0
CCN(CC)c1ccccc1,6.6
CCOCCNc1ccc(OC)cc1,4.99
Ic1cccnc1,3.25
Cc1ccc(C2CCCN2C)cn1,3.78
Nc1nccc(-c2csc(N)n2)n1,3.3
Nc1cnc2c(N)nc(N)nc2n1,6.3
NCCNCc1ccccc1,9.41
Cn1cccnc1=N,10.75
CCN(CC)CCNc1nc(C)cc(Nc2ccc(Cl)cc2)n1,9.6
CCCCOC(=N)c1ccccc1,6.09
Nc1ccc2cnccc2c1,7.17
COc1ncnc2c1cnn2C,2.51
c1nc(Cc2c[nH]cn2)c[nH]1,7.63
CCC1(O)CC(C)NC2CCCCC21,10.0233333333333
CNC(C)C(O)c1ccccc1,9.67666666666667
NC(=O)NOCCC(N)C(=O)O,8.9
Oc1ccc2nc3ccccc3cc2c1,5.52
COc1ccc(N)cn1,4.24
O=C(O)CCCc1c[nH]cn1,7.62
Cc1n[nH]c(C)c1[N+](=O)[O-],-0.22
COc1ccc(CC(C)N)cc1OC,9.6
NNC(=O)c1ccccc1,3.02
COc1ccc(C2CCCN2C)cc1,8.9
COc1ccc(OC)c2c1nc(CCl)n2C,4.1
Nc1ccc([I+]c2ccccc2)cc1,1.66
CC1=NC(=O)C(c2ccccc2)=NC1,9.3
OCc1c[nH]cn1,6.38
N#Cc1cncc2ccccc12,2.04
CN(C)c1ccc(C(=N)c2ccc(N(C)C)cc2)cc1,10.71
COC(=O)c1ncccn1,-0.68
CC1=Nc2ccccc2CO1,4.64
CC(N)CCC(=O)O,10.43
Nc1ccc(S(N)(=O)=O)cc1,2.11
CN(C)c1ccc(N=O)cc1,4.54
c1ccc(-c2ncc[nH]2)nc1,5.46
Cc1nc(-c2ccccc2SCc2ccccc2)[nH]c1C,7.0
Nc1ncc(Br)s1,3.61
Nc1cc(Br)cc(Br)c1,2.49
CN(C)c1ccc(N=Nc2ccccn2)cc1,4.5
Nc1nnnn1-c1cccc([N+](=O)[O-])c1,0.47
NC(Cc1nc[nH]n1)C(=O)O,10.7
COc1cc([S+](C)[O-])ccc1-c1nc2cccnc2[nH]1,3.9
CCCCCCCCCNCc1ccc(C)cc1,9.48
Nc1c2ccccc2nc2ccccc12,9.99
Nc1ccc(-c2ncc(-c3ccccc3)o2)cc1,3.01
Brc1ccc(Nc2ccccc2)cc1,1.73
NCc1ccncc1,8.3
Cc1cnc(N(C)C)s1,6.08
CCCNc1ncnc2c1cnn2C,4.25
Oc1ccc(N=Nc2ccncc2)cc1,4.65
CCCNC1c2ccccc2C=Cc2ccccc21,8.9
NC(=O)CC(NC(=O)C(N)CS)C(=O)O,7.05
CN(C)C=Nc1cccc(Cl)c1,7.97
COc1c(N)cccc1C(=O)NC1CC2CCC(C1)N2Cc1ccccc1,8.86
OC1COC(n2cnc3cncnc32)C(O)C1O,1.8
COc1ccc(N=Nc2ccncc2)cc1,4.53
NCCCCCN,10.29
NC(=O)c1cccnc1,3.32
CN(C)Cc1cc(Br)ccc1O,10.71
C[n+]1ccc(-c2nc3ccccc3[nH]2)cc1,2.26
ON=C(Cc1ccccc1)NO,4.25
O=[N+]([O-])c1ccc2c[nH]nc2c1,0.66
COc1ccccc1N,4.51
c1cnc2ncncc2n1,4.13
N#CC(C#N)N=Nc1c(Cl)cccc1Cl,-0.67
N#Cc1ccc(N)cc1,1.74
CC(C)n1cnc2ccccc21,5.74
C(=Nc1ccccc1)c1ccccc1,4.55
CC(C)N(Cc1ccccc1O)C(C)C,7.55
Cc1cc(CN)c(O)c(CN)c1,9.7
Nc1nccnn1,4.0
Cc1c(N)ccc2c1-c1c(ccc3ccccc13)C2,4.49
C(=Nc1ccccc1)Nc1ccccc1,6.3
COc1ccc(CC(C)N)cc1,9.53
COc1cc(C(N)=O)ccc1-c1nc2cn(C)nc2[nH]1,3.98
O=C1Cc2ccccc2C1,12.2
c1cc(N2CCCCC2)ccc1N1CCCCC1,6.5
CCOC(=O)N1CCNCC1,8.28
CN1CC=CCN1C,5.7
N=C(c1ccccc1)c1ccccc1O,5.0
Nc1ccc(Cl)cc1[N+](=O)[O-],-0.88
